File Name,File Version,Update Date,Region Code,State Code,Date Type,Date,Formatted Date,Receipts (All Initial),Closing Pending (All Initial),Determinations (All Initial),Allowances (All Initial),Allowance Rate (All Initial),Receipts (Initial SSDI Only),Closing Pending (Initial SSDI Only),Determinations (Initial SSDI Only),Allowances (Initial SSDI Only),Allowance Rate (Initial SSDI Only),Receipts (Initial SSI Only),Closing Pending (Initial SSI Only),Determinations (Initial SSI Only),Allowances (Initial SSI Only),Allowance Rate (Initial SSI Only),Receipts (Initial Concurrent Only),Closing Pending (Initial Concurrent Only),Determinations (Initial Concurrent Only),Allowances (Initial Concurrent Only),Allowance Rate (Initial Concurrent Only),Receipts (Initial SSI DC Only),Closing Pending (Initial SSI DC Only),Determinations (Initial SSI DC Only),Allowances (Initial SSI DC Only),Allowance Rate (Initial SSI DC Only),Prototype State,Receipts (All Recon),Closing Pending (All Recon),Determinations (All Recon),Allowances (All Recon),Allowance Rate (All Recon),Receipts (Recon SSDI Only),Closing Pending (Recon SSDI Only),Determinations (Recon SSDI Only),Allowances (Recon SSDI Only),Allowance Rate (Recon SSDI Only),Receipts (Recon SSI Only),Closing Pending (Recon SSI Only),Determinations (Recon SSI Only),Allowances (Recon SSI Only),Allowance Rate (Recon SSI Only),Receipts (Recon Concurrent Only),Closing Pending (Recon Concurrent Only),Determinations (Recon Concurrent Only),Allowances (Recon Concurrent Only),Allowance Rate (Recon Concurrent Only),Receipts (Recon SSI DC Only),Closing Pending (Recon SSI DC Only),Determinations (Recon SSI DC Only),Allowances (Recon SSI DC Only),Allowance Rate (Recon SSI DC Only),Receipts (All CDR),Closing Pending (All CDR),Determinations (All CDR),Continuations (All CDR),Continuation Rate (All CDR),Receipts (CDR SSDI Only),Closing Pending (CDR SSDI Only),Determinations (CDR SSDI Only),Continuations (CDR SSDI Only),Continuation Rate (CDR SSDI Only),Receipts (CDR SSI Only),Closing Pending (CDR SSI Only),Determinations (CDR SSI Only),Continuations (CDR SSI Only),Continuation Rate (CDR SSI Only),Receipts (CDR Concurrent Only),Closing Pending (CDR Concurrent Only),Determinations (CDR Concurrent Only),Continuations (CDR Concurrent Only),Continuation Rate (CDR Concurrent Only),,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,ATL,FL,MO,10/27/2000,2000-10,10759,32683,11634,4289,36.9,3100,8579,3277,1302,39.7,4720,15102,5162,2088,40.4,2939,9002,3195,899,28.1,2164,6446,2105,964,45.8,N,3054,7311,3216,519,16.1,1193,2551,1158,211,18.2,903,2345,1019,170,16.7,958,2415,1039,138,13.3,220,595,284,53,18.7,5696,8230,2026,1573,77.6,3379,4270,1042,865,83,1782,3262,826,581,70.3,535,698,158,127,80.4,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,ATL,GA,MO,10/27/2000,2000-10,5738,22199,4566,1602,35.1,1591,6094,1268,517,40.8,2405,8870,2087,744,35.6,1742,7235,1211,341,28.2,1025,2722,936,382,40.8,N,1450,5304,1255,222,17.7,493,1778,416,85,20.4,493,1612,440,70,15.9,464,1914,399,67,16.8,136,296,124,14,11.3,546,4573,1711,1381,80.7,259,1761,626,536,85.6,238,2468,958,739,77.1,49,344,127,106,83.5,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,SFO,HI,MO,10/27/2000,2000-10,574,1725,558,295,52.9,204,550,189,104,55,256,738,217,128,59,114,437,152,63,41.4,45,149,44,33,75,N,74,383,98,26,26.5,26,122,30,8,26.7,23,118,42,9,21.4,25,143,26,9,34.6,1,14,4,0,0,147,728,418,395,94.5,77,349,222,209,94.1,60,330,174,166,95.4,10,49,22,20,90.9,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,KCM,IA,MO,10/27/2000,2000-10,1477,4914,1366,606,44.4,534,1706,532,302,56.8,470,1588,429,181,42.2,473,1620,405,123,30.4,189,527,179,78,43.6,N,331,1066,270,72,26.7,114,361,103,33,32,84,256,69,13,18.8,133,449,98,26,26.5,20,49,15,1,6.7,760,1556,321,265,82.6,489,912,139,125,89.9,155,415,150,114,76,116,229,32,26,81.3,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,SEA,ID,MO,10/27/2000,2000-10,667,1429,630,269,42.7,242,509,232,128,55.2,231,476,201,78,38.8,194,444,197,63,32,82,171,83,35,42.2,N,235,274,200,24,12,86,94,76,10,13.2,56,75,50,9,18,93,105,74,5,6.8,15,18,9,2,22.2,38,793,260,228,87.7,20,404,157,144,91.7,13,282,75,59,78.7,5,107,28,25,89.3,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,CHI,IL,MO,10/27/2000,2000-10,7116,18847,6894,2538,36.8,2091,5394,2077,972,46.8,3405,9055,3200,1106,34.6,1620,4398,1617,460,28.4,1418,3711,1332,483,36.3,N,1602,3380,1646,280,17,542,1112,559,116,20.8,605,1307,646,96,14.9,455,961,441,68,15.4,188,400,210,25,11.9,2985,7454,3479,2995,86.1,1121,2729,1794,1646,91.8,1690,4229,1400,1091,77.9,174,496,285,258,90.5,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,CHI,IN,MO,10/27/2000,2000-10,3501,10992,3606,1207,33.5,1430,4337,1395,519,37.2,1215,3839,1325,477,36,856,2816,886,211,23.8,529,1630,642,273,42.5,N,876,2180,1004,102,10.2,418,1067,504,51,10.1,198,497,229,29,12.7,260,616,271,22,8.1,41,117,67,19,28.4,2046,7488,1048,829,79.1,1081,4118,521,453,86.9,779,2774,447,305,68.2,186,596,80,71,88.8,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,KCM,KS,MO,10/27/2000,2000-10,1404,3586,1443,509,35.3,482,1174,493,234,47.5,487,1242,478,165,34.5,435,1170,472,110,23.3,217,525,203,81,39.9,N,430,787,416,82,19.7,150,241,143,34,23.8,109,232,110,15,13.6,171,314,163,33,20.2,27,72,15,0,0,464,779,1072,991,92.4,199,335,613,593,96.7,213,356,319,265,83.1,52,88,140,133,95,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,ATL,KY,MO,10/27/2000,2000-10,4193,10265,4406,1406,31.9,1171,2697,1288,458,35.6,1858,4571,1854,655,35.3,1164,2997,1264,293,23.2,713,1473,651,312,47.9,N,1548,2492,1552,162,10.4,522,855,501,67,13.4,547,866,590,60,10.2,479,771,461,35,7.6,107,160,109,12,11,1699,3678,1838,1548,84.2,658,1484,833,753,90.4,872,1844,790,612,77.5,169,350,215,183,85.1,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DAL,LA,MO,10/27/2000,2000-10,4398,19068,3666,1376,37.5,1024,4481,827,392,47.4,2337,9857,2001,698,34.9,1037,4730,838,286,34.1,1145,4294,946,329,34.8,Y,59,294,87,30,34.5,43,161,37,18,48.6,12,77,30,5,16.7,4,56,20,7,35,4,24,5,1,20,1492,4823,1475,1048,71.1,686,2188,619,511,82.6,705,2271,748,449,60,101,364,108,88,81.5,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,BOS,MA,MO,10/27/2000,2000-10,3428,8440,3344,1377,41.2,1113,2451,991,540,54.5,1448,3858,1528,597,39.1,867,2131,825,240,29.1,467,1163,485,217,44.7,N,1024,2191,953,277,29.1,343,661,274,90,32.8,379,822,363,103,28.4,302,708,316,84,26.6,77,151,89,22,24.7,2190,6302,1810,1575,87,1038,3220,1015,933,91.9,834,2096,534,414,77.5,318,986,261,228,87.4,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,PHL,MD,MO,10/27/2000,2000-10,2819,6494,2784,1039,37.3,831,1846,861,382,44.4,1211,2928,1210,429,35.5,777,1720,713,228,32,443,1067,422,166,39.3,N,875,1824,842,136,16.2,304,567,266,58,21.8,288,696,326,46,14.1,283,561,250,32,12.8,46,130,50,10,20,619,2293,635,547,86.1,324,1097,262,244,93.1,239,1045,338,272,80.5,56,151,35,31,88.6,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,BOS,ME,MO,10/27/2000,2000-10,758,2056,769,316,41.1,297,772,298,154,51.7,238,662,247,95,38.5,223,622,224,67,29.9,67,183,92,45,48.9,N,230,656,263,66,25.1,70,207,98,23,23.5,73,204,73,16,21.9,87,245,92,27,29.3,17,42,19,3,15.8,302,793,1138,1093,96,133,397,663,645,97.3,133,266,326,308,94.5,36,130,149,140,94,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,CHI,MI,MO,10/27/2000,2000-10,6490,23001,6283,2460,39.2,2522,8912,2479,1185,47.8,2810,9619,2664,909,34.1,1158,4470,1140,366,32.1,1266,3973,1063,358,33.7,Y,46,250,133,45,33.8,22,100,52,16,30.8,15,79,44,15,34.1,9,71,37,14,37.8,6,19,8,2,25,3022,10444,1916,1642,85.7,1851,6047,1182,1119,94.7,811,3329,569,369,64.9,360,1068,165,154,93.3,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,CHI,MN,MO,10/27/2000,2000-10,1788,4554,1725,877,50.8,761,1908,766,432,56.4,640,1609,615,287,46.7,387,1037,344,158,45.9,242,595,227,113,49.8,N,445,847,440,105,23.9,204,357,203,51,25.1,144,269,130,27,20.8,97,221,107,27,25.2,34,75,27,5,18.5,985,2643,1650,1526,92.5,451,1180,866,828,95.6,449,1184,586,516,88.1,85,279,198,182,91.9,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,KCM,MO,MO,10/27/2000,2000-10,4192,11960,3870,1531,39.6,1325,3536,1199,690,57.5,1595,4480,1459,491,33.7,1272,3944,1212,350,28.9,628,1593,561,215,38.3,Y,35,88,51,28,54.9,16,28,18,13,72.2,13,30,14,7,50,6,30,19,8,42.1,2,6,2,0,0,1357,3053,3054,2571,84.2,932,1879,1768,1608,91,257,839,937,656,70,168,335,349,307,88,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,ATL,MS,MO,10/27/2000,2000-10,3603,8613,2882,909,31.5,804,1948,666,285,42.8,1716,3972,1266,368,29.1,1083,2693,950,256,26.9,858,1839,619,179,28.9,N,1207,1326,958,101,10.5,318,372,256,35,13.7,430,486,336,31,9.2,459,468,366,35,9.6,150,172,115,11,9.6,300,3003,1532,1284,83.8,105,1171,648,603,93.1,160,1518,704,517,73.4,35,314,180,164,91.1,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DEN,MT,MO,10/27/2000,2000-10,479,1236,535,170,31.8,188,435,203,76,37.4,157,475,179,53,29.6,134,326,153,41,26.8,62,133,57,23,40.4,N,185,345,172,12,7,73,121,57,7,12.3,47,104,47,3,6.4,65,120,68,2,2.9,9,14,8,1,12.5,384,577,155,117,75.5,272,343,78,64,82.1,56,160,63,42,66.7,56,74,14,11,78.6,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,ATL,NC,MO,10/27/2000,2000-10,6047,19503,5745,2066,36,2081,6525,1968,805,40.9,2100,7081,2001,717,35.8,1866,5897,1776,544,30.6,1018,3334,939,354,37.7,N,1978,4883,1984,282,14.2,856,2006,804,135,16.8,401,1126,458,63,13.8,721,1751,722,84,11.6,106,269,110,23,20.9,2946,5937,1834,1579,86.1,1811,3140,949,876,92.3,869,2348,729,565,77.5,266,449,156,138,88.5,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DEN,ND,MO,10/27/2000,2000-10,252,619,221,106,48,95,232,83,51,61.4,88,205,70,37,52.9,69,182,68,18,26.5,35,80,33,21,63.6,N,66,157,67,7,10.4,23,60,21,4,19,21,39,22,1,4.5,22,58,24,2,8.3,7,13,4,1,25,97,240,106,97,91.5,66,152,56,53,94.6,21,64,39,34,87.2,10,24,11,10,90.9,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,KCM,NE,MO,10/27/2000,2000-10,962,2663,798,305,38.2,337,888,263,134,51,309,875,252,93,36.9,316,900,283,78,27.6,145,379,101,53,52.5,N,188,490,197,31,15.7,57,151,49,9,18.4,46,130,56,11,19.6,85,209,92,11,12,13,39,16,1,6.3,150,597,220,187,85,92,303,118,107,90.7,38,213,69,50,72.5,20,81,33,30,90.9,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,BOS,NH,MO,10/27/2000,2000-10,518,2206,394,256,65,270,1140,217,151,69.6,131,564,96,55,57.3,117,502,81,50,61.7,35,178,31,19,61.3,Y,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,269,670,320,304,95,193,501,254,244,96.1,47,103,39,33,84.6,29,66,27,27,100,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,NYC,NJ,MO,10/27/2000,2000-10,3759,15103,2991,1465,49,1469,5348,1194,657,55,1550,6818,1239,612,49.4,740,2937,558,196,35.1,570,2528,421,232,55.1,N,671,3426,574,145,25.3,332,1430,267,77,28.8,184,1167,183,44,24,155,829,124,24,19.4,38,289,43,8,18.6,2333,10775,903,735,81.4,1212,5860,451,399,88.5,952,4003,358,250,69.8,169,912,94,86,91.5,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DAL,NM,MO,10/27/2000,2000-10,1100,4026,889,351,39.5,297,968,223,92,41.3,478,1902,413,176,42.6,325,1156,253,83,32.8,147,589,129,62,48.1,N,291,666,302,49,16.2,91,173,85,13,15.3,100,265,120,20,16.7,100,228,97,16,16.5,19,51,15,2,13.3,243,1627,385,334,86.8,156,987,198,187,94.4,41,411,149,113,75.8,46,229,38,34,89.5,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,SFO,NV,MO,10/27/2000,2000-10,955,3518,809,451,55.7,356,1157,279,179,64.2,334,1327,291,158,54.3,265,1034,239,114,47.7,112,398,107,61,57,N,141,517,144,46,31.9,47,164,38,16,42.1,42,157,47,13,27.7,52,196,59,17,28.8,10,28,8,2,25,300,1792,478,446,93.3,202,1098,303,286,94.4,71,523,129,117,90.7,27,171,46,43,93.5,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,NYC,NY,MO,10/27/2000,2000-10,12284,36815,12152,4808,39.6,4175,11384,4110,1913,46.5,6520,20286,6288,2377,37.8,1589,5145,1754,518,29.5,2086,6380,1889,743,39.3,Y,6969,9395,5968,570,9.6,2150,2755,1851,188,10.2,3634,5030,3087,309,10,1185,1610,1030,73,7.1,293,511,273,25,9.2,6687,24235,6468,5727,88.5,3354,12287,3260,3037,93.2,2814,10104,2643,2168,82,519,1844,565,522,92.4,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,CHI,OH,MO,10/27/2000,2000-10,7011,27920,5496,1880,34.2,2311,8955,1792,751,41.9,3107,12442,2413,794,32.9,1593,6523,1291,335,25.9,1302,4935,1017,387,38.1,N,1682,5488,1373,227,16.5,689,2140,525,110,21,588,1971,485,56,11.5,405,1377,363,61,16.8,177,592,133,17,12.8,3430,10155,4152,3603,86.8,1637,5157,2484,2337,94.1,1523,4109,1297,927,71.5,270,889,371,339,91.4,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DAL,OK,MO,10/27/2000,2000-10,2422,8162,2232,795,35.6,903,3013,885,344,38.9,993,3249,855,323,37.8,526,1900,492,128,26,397,1140,304,129,42.4,N,711,925,652,73,11.2,311,391,290,34,11.7,223,294,187,23,12.3,177,240,175,16,9.1,50,61,36,7,19.4,690,2314,875,719,82.2,364,1044,386,325,84.2,258,1077,429,342,79.7,68,193,60,52,86.7,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,SEA,OR,MO,10/27/2000,2000-10,2006,6499,1338,556,41.6,743,2273,484,228,47.1,687,2250,470,224,47.7,576,1976,384,104,27.1,162,597,145,97,66.9,N,543,1587,362,84,23.2,200,547,129,35,27.1,148,469,113,29,25.7,195,571,120,20,16.7,18,52,15,2,13.3,225,2269,538,483,89.8,115,1346,319,297,93.1,86,612,144,121,84,24,311,75,65,86.7,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,PHL,PA,MO,10/27/2000,2000-10,7871,24618,7395,3665,49.6,2594,7110,2482,1501,60.5,3575,11953,3387,1558,46,1702,5555,1526,606,39.7,1246,3891,1123,542,48.3,Y,144,429,163,47,28.8,66,151,50,17,34,48,175,59,16,27.1,30,103,54,14,25.9,3,23,7,2,28.6,1436,6056,3159,2770,87.7,935,3419,1499,1395,93.1,311,1956,1396,1132,81.1,190,681,264,243,92,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,NYC,PR,MO,10/27/2000,2000-10,1772,6827,1259,457,36.3,1760,6811,1259,457,36.3,12,16,0,0,0,0,0,0,0,0,0,1,0,0,0,N,815,2099,706,101,14.3,812,2097,706,101,14.3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,488,3791,851,820,96.4,487,3791,851,820,96.4,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,BOS,RI,MO,10/27/2000,2000-10,599,1810,631,296,46.9,264,687,271,142,52.4,259,869,292,134,45.9,76,254,68,20,29.4,91,318,107,60,56.1,N,229,509,190,41,21.6,110,246,99,24,24.2,79,172,60,10,16.7,40,91,31,7,22.6,18,35,13,1,7.7,234,678,700,670,95.7,135,338,343,332,96.8,63,239,261,245,93.9,36,101,96,93,96.9,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,ATL,SC,MO,10/27/2000,2000-10,3124,10353,3038,1103,36.3,1033,3325,1040,430,41.3,1236,4084,1124,416,37,855,2944,874,257,29.4,581,1804,467,189,40.5,N,948,4290,709,132,18.6,385,1818,291,67,23,231,968,185,32,17.3,332,1504,233,33,14.2,61,195,46,5,10.9,1297,3581,1098,895,81.5,637,1655,549,489,89.1,571,1676,481,348,72.3,89,250,68,58,85.3,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DEN,SD,MO,10/27/2000,2000-10,335,1194,372,114,30.6,108,379,142,54,38,113,439,126,41,32.5,114,376,104,19,18.3,55,170,55,20,36.4,N,101,220,118,14,11.9,31,74,35,4,11.4,31,65,38,5,13.2,39,81,45,5,11.1,6,15,13,1,7.7,493,647,92,63,68.5,277,318,40,33,82.5,156,254,46,25,54.3,60,75,6,5,83.3,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,ATL,TN,MO,10/27/2000,2000-10,4731,10462,4598,1302,28.3,1394,2813,1365,472,34.6,1847,4176,1741,516,29.6,1490,3473,1492,314,21,775,1625,679,231,34,N,1578,2249,1452,140,9.6,572,766,539,64,11.9,402,610,404,36,8.9,604,873,509,40,7.9,94,137,115,9,7.8,1858,3445,2161,1717,79.5,1026,1591,1046,872,83.4,658,1545,933,692,74.2,174,309,182,153,84.1,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DAL,TX,MO,10/27/2000,2000-10,11521,39223,9882,3593,36.4,3214,10649,2792,1100,39.4,5147,17721,4468,1709,38.2,3160,10853,2622,784,29.9,1807,5542,1513,699,46.2,N,3357,8924,2912,407,14,1116,2959,904,128,14.2,1180,3114,1030,156,15.1,1061,2851,978,123,12.6,219,594,174,23,13.2,2737,7713,4198,3535,84.2,1389,3621,1963,1729,88.1,1075,3340,1814,1435,79.1,273,752,421,371,88.1,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,DEN,UT,MO,10/27/2000,2000-10,704,2319,756,281,37.2,305,964,277,98,35.4,219,752,277,130,46.9,180,603,202,53,26.2,79,284,113,71,62.8,N,226,583,202,24,11.9,102,253,94,9,9.6,43,145,51,7,13.7,81,185,57,8,14,9,21,10,0,0,333,895,268,221,82.5,211,479,97,87,89.7,97,352,143,112,78.3,25,64,28,22,78.6,,,,,,,,,,,,,,
SSA-SA-MOWL.csv,2,5/6/2014,PHL,VA,MO,10/27/2000,2000-10,4072,7863,4308,1622,37.7,1500,2687,1526,687,45,1527,3139,1654,604,36.5,1045,2037,1128,331,29.3,667,1361,743,276,37.1,N,1117,1427,1162,142,12.2,463,589,490,67,13.7,263,363,294,40,13.6,391,475,378,35,9.3,73,101,74,10,13.5,1640,4628,828,664,80.2,787,2235,361,323,89.5,740,2060,424,307,72.4,113,333,43,34,79.1,,,,,,,,,,,,,,
